# Market symbol master config
# yahoo_symbol  : REST API symbol AND WebSocket symbol (indices stream directly)
# ws_symbol     : override only for commodity ETF proxies (GLD, SLV)
#                 Leave blank for equity indices — they stream as-is via Yahoo WS
# display_name  : label shown in UI
# source_type   : EQUITY | MCX_GOLD | MCX_SILVER | COMEX_COPPER | COMEX_CRUDE
# unit_XX       : NATIVE = display index value as-is
yahoo_symbol,ws_symbol,display_name,source_type,unit_IN,unit_US,unit_GB,unit_JP,unit_AU,unit_HK,unit_DE,unit_CN,unit_CA,unit_SG,unit_KR,unit_NZ,unit_TW,unit_DEFAULT
^SSMI,,SMI,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^OMX,,OMX STOCKHOLM,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^OMXC25,,OMX COPENHAGEN,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
OBX.OL,,OBX,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
# ── Commodities — WS v2 streams futures directly (no ETF proxy needed) ────────
# GC=F / SI=F stream on Yahoo WS v2 as USD/oz — converted to local unit in-app
# HG=F / CL=F are REST-only (ws_symbol blank)
GC=F,GC=F,MCX GOLD,MCX_GOLD,INR/10g,USD/oz,GBP/oz,JPY/g,AUD/oz,HKD/oz,EUR/oz,CNY/g,CAD/oz,SGD/oz,KRW/g,NZD/oz,TWD/g,USD/oz
SI=F,SI=F,MCX SILVER,MCX_SILVER,INR/kg,USD/oz,GBP/oz,JPY/kg,AUD/oz,HKD/oz,EUR/kg,CNY/kg,CAD/oz,SGD/oz,KRW/kg,NZD/oz,TWD/kg,USD/oz
HG=F,,COPPER,COMEX_COPPER,INR/kg,USD/lb,GBP/kg,JPY/kg,AUD/kg,HKD/kg,EUR/kg,CNY/kg,CAD/lb,SGD/kg,KRW/kg,NZD/kg,TWD/kg,USD/lb
CL=F,,CRUDE OIL,COMEX_CRUDE,INR/bbl,USD/bbl,GBP/bbl,JPY/bbl,AUD/bbl,HKD/bbl,EUR/bbl,CNY/bbl,CAD/bbl,SGD/bbl,KRW/bbl,NZD/bbl,TWD/bbl,USD/bbl
